gap_id,concept,layer_hint,paper_id,title,year,layer,citation_count,relevance_score,pdf_available,pdf_url,doi,arxiv_id
"gap_000","90abbc2cf38462b954ae1b772fac9532e2ccd8b0","foundation","90abbc2cf38462b954ae1b772fac9532e2ccd8b0","Language Models are Few-Shot Learners",2020,"foundation",57652,0.6112,true,"https://arxiv.org/pdf/2005.14165.pdf","","2005.14165"
"gap_000","36eff562f65125511b5dfab68ce7f7a943c27478","foundation","36eff562f65125511b5dfab68ce7f7a943c27478","Semi-Supervised Classification with Graph Convolutional Networks",2016,"foundation",34784,0.5194,true,"https://arxiv.org/pdf/1609.02907.pdf","","1609.02907"
"gap_000","1b6e810ce0afd0dd093f789d2b2742d047e316d5","foundation","1b6e810ce0afd0dd093f789d2b2742d047e316d5","Chain of Thought Prompting Elicits Reasoning in Large Language Models",2022,"foundation",17856,0.4891,true,"https://arxiv.org/pdf/2201.11903.pdf","10.52202/068431-1800","2201.11903"
"gap_000","104b0bb1da562d53cbda87aec79ef6a2827d191a","foundation","104b0bb1da562d53cbda87aec79ef6a2827d191a","Llama 2: Open Foundation and Fine-Tuned Chat Models",2023,"foundation",16755,0.4886,true,"https://arxiv.org/pdf/2307.09288.pdf","","2307.09288"
"gap_000","c624ee21c69ec9cbc94b50221f6bba116d4c7859","development","c624ee21c69ec9cbc94b50221f6bba116d4c7859","Semantic Parsing via Staged Query Graph Generation: Question Answering with Knowledge Base",2015,"development",826,0.4235,true,"https://www.aclweb.org/anthology/P15-1128.pdf","10.3115/v1/P15-1128",""
"gap_004","90abbc2cf38462b954ae1b772fac9532e2ccd8b0","foundation","90abbc2cf38462b954ae1b772fac9532e2ccd8b0","Language Models are Few-Shot Learners",2020,"foundation",57652,0.5303,true,"https://arxiv.org/pdf/2005.14165.pdf","","2005.14165"
"gap_004","9b2473c1d88f2300358dc8b11e826dc5ba81bbbc","development","9b2473c1d88f2300358dc8b11e826dc5ba81bbbc","RNG-KBQA: Generation Augmented Iterative Ranking for Knowledge Base Question Answering",2021,"development",203,0.4397,true,"https://aclanthology.org/2022.acl-long.417.pdf","10.18653/v1/2022.acl-long.417","2109.08678"
"gap_004","104b0bb1da562d53cbda87aec79ef6a2827d191a","foundation","104b0bb1da562d53cbda87aec79ef6a2827d191a","Llama 2: Open Foundation and Fine-Tuned Chat Models",2023,"foundation",16755,0.3758,true,"https://arxiv.org/pdf/2307.09288.pdf","","2307.09288"
"gap_004","f77d63d7014204bd8bb678708880a561ffe0fe42","development","f77d63d7014204bd8bb678708880a561ffe0fe42","Expanding End-to-End Question Answering on Differentiable Knowledge Graphs with Intersection",2021,"development",29,0.3741,true,"https://aclanthology.org/2021.emnlp-main.694.pdf","10.18653/v1/2021.emnlp-main.694","2109.05808"
"gap_004","bba5f2852b1db8a18004eb7328efa5e1d57cc62a","development","bba5f2852b1db8a18004eb7328efa5e1d57cc62a","Key-Value Memory Networks for Directly Reading Documents",2016,"development",1062,0.3633,true,"https://aclanthology.org/D16-1147.pdf","10.18653/v1/D16-1147","1606.03126"
"gap_002","90abbc2cf38462b954ae1b772fac9532e2ccd8b0","foundation","90abbc2cf38462b954ae1b772fac9532e2ccd8b0","Language Models are Few-Shot Learners",2020,"foundation",57652,0.6445,true,"https://arxiv.org/pdf/2005.14165.pdf","","2005.14165"
"gap_002","ddbd8fe782ac98e9c64dd98710687a962195dd9b","foundation","ddbd8fe782ac98e9c64dd98710687a962195dd9b","Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",2023,"foundation",1799,0.4922,true,"https://arxiv.org/pdf/2310.11511.pdf","","2310.11511"
"gap_002","104b0bb1da562d53cbda87aec79ef6a2827d191a","foundation","104b0bb1da562d53cbda87aec79ef6a2827d191a","Llama 2: Open Foundation and Fine-Tuned Chat Models",2023,"foundation",16755,0.4719,true,"https://arxiv.org/pdf/2307.09288.pdf","","2307.09288"
"gap_002","1b6e810ce0afd0dd093f789d2b2742d047e316d5","foundation","1b6e810ce0afd0dd093f789d2b2742d047e316d5","Chain of Thought Prompting Elicits Reasoning in Large Language Models",2022,"foundation",17856,0.4542,true,"https://arxiv.org/pdf/2201.11903.pdf","10.52202/068431-1800","2201.11903"
"gap_002","36eff562f65125511b5dfab68ce7f7a943c27478","foundation","36eff562f65125511b5dfab68ce7f7a943c27478","Semi-Supervised Classification with Graph Convolutional Networks",2016,"foundation",34784,0.3841,true,"https://arxiv.org/pdf/1609.02907.pdf","","1609.02907"
"gap_003","90abbc2cf38462b954ae1b772fac9532e2ccd8b0","foundation","90abbc2cf38462b954ae1b772fac9532e2ccd8b0","Language Models are Few-Shot Learners",2020,"foundation",57652,0.7421,true,"https://arxiv.org/pdf/2005.14165.pdf","","2005.14165"
"gap_003","104b0bb1da562d53cbda87aec79ef6a2827d191a","foundation","104b0bb1da562d53cbda87aec79ef6a2827d191a","Llama 2: Open Foundation and Fine-Tuned Chat Models",2023,"foundation",16755,0.6381,true,"https://arxiv.org/pdf/2307.09288.pdf","","2307.09288"
"gap_003","1b6e810ce0afd0dd093f789d2b2742d047e316d5","foundation","1b6e810ce0afd0dd093f789d2b2742d047e316d5","Chain of Thought Prompting Elicits Reasoning in Large Language Models",2022,"foundation",17856,0.579,true,"https://arxiv.org/pdf/2201.11903.pdf","10.52202/068431-1800","2201.11903"
"gap_003","8342b592fe238f3d230e4959b06fd10153c45db1","foundation","8342b592fe238f3d230e4959b06fd10153c45db1","Training Compute-Optimal Large Language Models",2022,"foundation",3103,0.511,true,"https://arxiv.org/pdf/2203.15556.pdf","10.52202/068431-2176","2203.15556"
"gap_003","094ff971d6a8b8ff870946c9b3ce5aa173617bfb","foundation","094ff971d6a8b8ff870946c9b3ce5aa173617bfb","PaLM: Scaling Language Modeling with Pathways",2022,"foundation",7953,0.5072,true,"https://arxiv.org/pdf/2204.02311.pdf","","2204.02311"
"gap_001","36eff562f65125511b5dfab68ce7f7a943c27478","foundation","36eff562f65125511b5dfab68ce7f7a943c27478","Semi-Supervised Classification with Graph Convolutional Networks",2016,"foundation",34784,0.4505,true,"https://arxiv.org/pdf/1609.02907.pdf","","1609.02907"
"gap_001","90abbc2cf38462b954ae1b772fac9532e2ccd8b0","foundation","90abbc2cf38462b954ae1b772fac9532e2ccd8b0","Language Models are Few-Shot Learners",2020,"foundation",57652,0.4409,true,"https://arxiv.org/pdf/2005.14165.pdf","","2005.14165"
"gap_001","95280565aa3d120c6d7e8d87ea3423f16977f19a","development","95280565aa3d120c6d7e8d87ea3423f16977f19a","Variational Reasoning for Question Answering with Knowledge Graph",2017,"development",555,0.3604,true,"https://ojs.aaai.org/index.php/AAAI/article/download/12057/11916","10.1609/aaai.v32i1.12057","1709.04071"
"gap_001","61b38f0abc37a4c3cacad2b7752da35abae64b6f","development","61b38f0abc37a4c3cacad2b7752da35abae64b6f","Relation-aware Bidirectional Path Reasoning for Commonsense Question Answering",2021,"development",5,0.3581,true,"https://aclanthology.org/2021.conll-1.35.pdf","10.18653/v1/2021.conll-1.35",""
"gap_001","8241481fd3832d9086677942e8dc825266f79adc","development","8241481fd3832d9086677942e8dc825266f79adc","Stepwise Reasoning for Multi-Relation Question Answering over Knowledge Graph with Weak Supervision",2020,"development",156,0.3427,false,"","10.1145/3336191.3371812",""
